chrom	start	end	driver_score	direction
chr1	37873280	37873647	0.4723	-0.1949
chr1	37884570	37884735	0.4028	-0.2296
chr1	37889662	37890767	0.4171	0.2692
chr1	37891509	37891700	0.4761	-0.2979
chr1	37894629	37895103	0.4689	-0.4093
chr1	37899892	37900543	0.5605	0.4806
chr1	37903106	37903620	0.4909	-0.5304
chr1	37917527	37918777	0.5044	-0.5514
chr1	37931700	37932181	0.5148	-0.8205
chr1	37950543	37950959	0.5997	-0.312
chr1	37954681	37955140	0.5182	-0.488
chr1	37971487	37971996	0.4344	-0.4578
chr1	37982964	37984078	0.4604	-0.2839
chr1	37996769	37998734	0.5479	0.1594
chr1	38011698	38011992	0.5101	0.1371
chr1	38012259	38013085	0.5125	-0.4856
chr1	38021275	38021596	0.4924	-0.4056
chr1	38024852	38025644	0.5254	-0.3955
chr1	38029572	38030444	0.4609	-0.3451
chr1	38031427	38031715	0.5374	-0.3815
chr1	38038598	38039493	0.4773	-0.7778
chr1	38048338	38048676	0.4164	-0.0859
chr1	38049055	38049213	0.429	-0.078
chr1	38049413	38049948	0.4378	-0.3921
chr1	38052223	38052441	0.5418	-0.2126
chr1	38054633	38054872	0.4143	0.0668
chr1	38057416	38057568	0.3992	-0.0624
chr1	38071381	38071664	0.4536	-0.4046
chr1	38075253	38075532	0.5659	-0.1962
chr1	38081158	38081964	0.4518	-0.4706
chr1	38084095	38084282	0.4913	-0.1015
chr1	38085033	38085226	0.4334	-0.2346
chr1	38103782	38104296	0.5116	-0.5816
chr1	38108767	38109111	0.4807	-0.4243
chr1	38114047	38114650	0.5073	-0.584
chr1	38123576	38123712	0.5532	0.1058
chr1	38129149	38130479	0.5892	0.2814
chr1	38158652	38158803	0.5187	-0.0699
chr1	38159059	38159928	0.4598	-0.4309
chr1	38165618	38165971	0.5249	-0.1531
chr1	38185459	38185865	0.5064	-0.4638
chr1	38194276	38194697	0.5761	-0.5879
chr1	38202706	38203267	0.5115	-0.6514
chr1	38212226	38212954	0.5937	-0.753
chr1	38218107	38218571	0.4408	-0.3744
chr1	38221867	38222641	0.3913	0.2224
chr1	38228964	38229099	0.4637	-0.102
chr1	38237067	38237486	0.456	-0.45
chr1	38241021	38241692	0.426	-0.3624
chr1	38241847	38242140	0.4904	0.1912
chr1	38242650	38242778	0.4382	-0.0779
chr1	38248017	38248485	0.6029	-0.867
chr1	38259484	38259872	0.5862	-0.3049
chr1	38260024	38260163	0.5448	-0.059
chr1	38262101	38262929	0.5617	-0.5867
chr1	38263299	38263692	0.6146	0.48
chr1	38268663	38268957	0.4695	-0.3284
chr1	38286353	38286990	0.5639	-0.8268
chr1	38291725	38292470	0.5574	-0.6841
chr1	38292812	38293176	0.5046	-0.4385
chr1	38298000	38298736	0.429	-0.4538
chr1	38304571	38305228	0.4454	-0.2428
chr1	38307666	38309004	0.4278	0.2918
chr1	38312221	38312415	0.4588	0.1311
chr1	38318212	38318937	0.4858	-0.7932
chr1	38334155	38334966	0.4427	-0.3923
chr1	38358325	38358768	0.4583	-0.2081
chr1	38363983	38364157	0.4776	-0.0859
chr1	38381858	38382132	0.4718	-0.2267
chr1	38384350	38384607	0.5467	0.102
chr1	38393014	38393955	0.5406	-0.7827
chr1	38401344	38401498	0.5048	-0.1822
chr1	38401680	38402293	0.4664	-0.3731
chr1	38406020	38406604	0.5469	-0.5142
chr1	38424501	38424899	0.5106	-0.2386
chr1	38428867	38429083	0.4531	0.1086
chr1	38436353	38436605	0.3947	0.0954
chr1	38436612	38436866	0.5024	-0.0523
chr1	38437703	38438196	0.6632	-0.7834
chr1	38438529	38438694	0.4669	-0.0566
chr1	38439051	38439297	0.5276	-0.1486
chr1	38441916	38442181	0.4467	-0.128
chr1	38450593	38451082	0.7457	0.7349
chr1	38459934	38460159	0.4224	0.0906
chr1	38470113	38470857	0.6254	-0.6916
chr1	38470979	38471193	0.4456	-0.1442
chr1	38481362	38481548	0.4734	0.0795
chr1	38486090	38486316	0.4729	-0.0912
chr1	38491461	38491595	0.581	0.1004
chr1	38501734	38502388	0.3904	0.3159
chr1	38512271	38512996	0.5157	-0.3678
chr1	38529045	38529421	0.4159	-0.1449
chr1	38545481	38546153	0.4346	-0.3649
chr1	38547663	38547993	0.5095	-0.2771
chr1	38548706	38549201	0.4606	-0.4012
chr1	38554427	38555148	0.4903	-0.7163
chr1	38557710	38557897	0.5815	-0.1301
chr1	38562929	38563169	0.5938	-0.0672
chr1	38564088	38564244	0.6643	0.0908
chr1	38566103	38566460	0.4287	-0.102
chr1	38601906	38602503	0.6081	-0.7033
chr1	38604411	38604941	0.4218	-0.2944
chr1	38607713	38607902	0.5274	-0.1944
chr1	38608805	38609241	0.4767	-0.2104
chr1	38626428	38628564	0.546	-0.0963
chr1	38642099	38642373	0.4793	-0.096
chr1	38657454	38658068	0.4578	-0.3648
chr1	38659046	38659678	0.4888	-0.4839
chr1	38680620	38681138	0.4377	-0.1234
chr1	38688467	38689095	0.47	-0.4806
chr1	38690679	38690864	0.4142	-0.0977
chr1	38692642	38692841	0.4809	0.0797
chr1	38695887	38696267	0.478	-0.165
chr1	38700331	38701205	0.6474	-0.8436
chr1	38715779	38716170	0.4188	-0.3374
chr1	38719033	38719699	0.6426	-0.6454
chr1	38722836	38723021	0.4933	0.0948
chr1	38726540	38726718	0.5669	-0.3334
chr1	38728107	38728321	0.4426	-0.1663
chr1	38731041	38731557	0.4748	-0.2773
chr1	38735536	38736142	0.6019	-0.467
chr1	38753154	38753414	0.4829	-0.1776
chr1	38759171	38759368	0.5319	-0.072
chr1	38764446	38764601	0.5239	0.1053
chr1	38764709	38765344	0.4111	0.1051
chr1	38766836	38767229	0.4683	0.3685
chr1	38767929	38768101	0.4322	-0.1515
chr1	38770002	38770554	0.6145	-0.3085
chr1	38770658	38771346	0.5073	-0.2695
chr1	38773808	38774083	0.4067	0.1025
chr1	38787330	38787765	0.5226	-0.3534
chr1	38789710	38790820	0.4551	-0.3631
chr1	38791574	38791708	0.5361	-0.0734
chr1	38799458	38799636	0.5558	-0.4823
chr1	38807347	38807500	0.7306	-0.0698
chr1	38816292	38816505	0.5925	-0.0751
chr1	38817011	38817430	0.5133	-0.1847
chr1	38835579	38836560	0.4912	-0.2664
chr1	38856254	38856754	0.523	-0.214
chr1	38860329	38860515	0.765	-0.2798
chr1	38862237	38862461	0.4285	-0.0912
chr1	38869815	38870174	0.9162	-0.41
chr1	38882851	38883302	0.873	0.3995
chr1	38885912	38886052	0.9043	0.0988
chr1	38888881	38889077	0.8808	-0.3948
chr1	38897185	38898274	0.9047	-0.1666
chr1	38899918	38900072	0.8852	-0.0851
chr1	38930846	38931075	0.8631	-0.1181
chr1	38944804	38944977	0.8629	0.0931
chr1	38956864	38957066	0.8764	-0.1884
chr1	38963659	38963893	0.8847	-0.1181
chr1	38971672	38972077	0.8737	-0.5445
chr1	38972824	38973546	0.8784	-0.5351
chr1	38979767	38980454	0.8497	-0.3061
chr1	38980707	38980983	0.8647	-0.1517
chr1	38987089	38988608	0.8939	0.0885
chr1	38992399	38992920	0.8754	0.3483
chr1	39001051	39001750	0.8672	-0.419
chr1	39007193	39008140	0.8267	0.1564
chr1	39010605	39011140	0.8935	-0.3258
chr1	39012710	39012930	0.8856	-0.1867
chr1	39042240	39042424	0.8754	0.0895
chr1	39056979	39057164	0.8556	0.2706
chr1	39064176	39064294	0.8778	0.0988
chr1	39069901	39070205	0.8698	0.0078
chr1	39070359	39070468	0.8938	0.0862
chr1	39078660	39079194	0.8128	0.2623
chr1	39084571	39084797	0.8643	-0.072
chr1	39089878	39090167	0.8589	0.0703
chr1	39090971	39091319	0.9196	0.2698
chr1	39105261	39106014	0.874	-0.2582
chr1	39106382	39107043	0.8381	0.4331
chr1	39122755	39122884	0.8859	0.0919
chr1	39144360	39144705	0.8481	0.2413
chr1	39158906	39159125	0.8933	-0.0816
chr1	39160343	39160457	0.8843	0.0999
chr1	39186841	39186985	0.8977	0.1411
chr1	39192521	39193251	0.8792	-0.1466
chr1	39193759	39194522	0.9451	0.089
chr1	39196189	39197205	0.8729	-0.2674
chr1	39206762	39207231	0.8646	-0.3604
chr1	39234869	39235495	0.8881	-0.5848
chr1	39235929	39236247	0.8583	-0.1521
chr1	39245441	39245975	0.8988	0.2913
chr1	39251818	39252030	0.8749	-0.2552
chr1	39256177	39257557	0.857	-0.1248
chr1	39261104	39261368	0.8811	-0.2122
chr1	39262599	39262805	0.8762	-0.098
chr1	39281570	39282387	0.8665	-0.1849
chr1	39283343	39283683	0.848	0.0079
chr1	39287066	39287407	0.8563	-0.3114
chr1	39287852	39288127	0.83	0.224
chr1	39288470	39288731	0.8985	0.323
chr1	39290519	39290671	0.8766	-0.1302
chr1	39303168	39303485	0.9019	0.3537
chr1	39306642	39307191	0.8889	0.2371
chr1	39307195	39308452	0.8497	-0.4951
chr1	39312497	39312884	0.9134	0.2923
chr1	39313447	39313639	0.8554	-0.0805
chr1	39317960	39318466	0.8915	-0.0658
chr1	39319068	39319543	0.8536	-0.2447
chr1	39327626	39327871	0.8747	0.3998
chr1	39331275	39331406	0.8724	0.0909
chr1	39340648	39341091	0.8948	-0.365
chr1	39347256	39347648	0.8001	0.2183
chr1	39348972	39349681	0.883	-0.1076
chr1	39367310	39368356	0.9107	0.1991
chr1	39369157	39369345	0.8635	-0.0488
chr1	39374189	39374640	0.852	0.0204
chr1	39376337	39377086	0.88	-0.4268
chr1	39380871	39381420	0.8888	0.5186
chr1	39392282	39392638	0.8917	-0.2039
chr1	39394123	39394589	0.8871	-0.2282
chr1	39396473	39396676	0.868	0.2416
chr1	39399168	39400060	0.8924	-0.5013
chr1	39400197	39400351	0.8555	-0.0723
chr1	39400850	39401029	0.8658	0.2119
chr1	39407248	39407385	0.8812	-0.0698
chr1	39411379	39412021	0.8709	0.1411
chr1	39417752	39418021	0.8466	-0.0864
chr1	39441784	39441996	0.8964	0.1789
chr1	39443890	39444106	0.853	0.12
chr1	39448366	39448475	0.8582	0.1116
chr1	39449279	39449806	0.8342	0.2342
chr1	39450229	39450782	0.8781	0.3247
chr1	39455456	39455818	0.8739	-0.3104
chr1	39457856	39458389	0.8364	0.6257
chr1	39463798	39464313	0.8709	0.055
chr1	39476759	39477085	0.9045	-0.1563
chr1	39478059	39479130	0.9176	0.158
chr1	39487489	39487699	0.8708	0.2523
chr1	39499508	39500113	0.9071	-0.1735
chr1	39511148	39511394	0.8571	-0.102
chr1	39515132	39515277	0.8691	-0.0805
chr1	39522548	39522982	0.8499	-0.0708
chr1	39525766	39526082	0.8749	-0.2361
chr1	39527419	39527720	0.8879	-0.038
chr1	39528965	39529479	0.8667	-0.4538
chr1	39530235	39530537	0.8543	-0.0514
chr1	39535322	39536341	0.9019	0.221
chr1	39536549	39536861	0.894	-0.1347
chr1	39544338	39544678	0.8745	0.1969
chr1	39545711	39545915	0.8562	0.0113
chr1	39548128	39549092	0.8712	-0.2757
chr1	39555857	39556679	0.883	-0.5112
chr1	39562038	39562175	0.8557	-0.1472
chr1	39563266	39563450	0.8892	-0.3167
chr1	39571668	39571920	0.9002	-0.2324
chr1	39576060	39577781	0.9576	0.3385
chr1	39603399	39603558	0.8921	-0.1765
chr1	39613161	39613559	0.8585	0.3874
chr1	39614812	39615538	0.8278	-0.1479
chr1	39618658	39619054	0.8943	-0.2033
chr1	39622310	39622427	0.9048	0.0805
chr1	39635999	39637112	0.8654	-0.5409
chr1	39646154	39646590	0.8875	-0.1755
chr1	39649867	39651415	0.9187	0.2834
chr1	39656783	39657623	0.9049	-0.8116
chr1	39676219	39676829	0.8644	-0.5989
chr1	39685792	39686206	0.8678	-0.236
chr1	39687253	39687894	0.8831	-0.1807
chr1	39691858	39692265	0.8526	0.3801
chr1	39694769	39694990	0.8802	-0.0019
chr1	39695290	39695962	0.8891	-0.3391
chr1	39698478	39698846	0.8747	0.1177
chr1	39700779	39701615	0.8557	0.3
chr1	39702457	39702945	0.8388	-0.1501
chr1	39713796	39715025	0.8565	-0.4773
chr1	39720412	39721836	0.9272	0.2764
chr1	39731516	39732400	0.8561	0.2653
chr1	39735624	39736700	0.8428	-0.3391
chr1	39740944	39741609	0.8497	0.6261
chr1	39742273	39742471	0.8854	-0.2183
chr1	39746444	39746967	0.8832	0.4557
chr1	39749622	39749948	0.8734	0.1138
chr1	39751274	39751914	0.8898	0.3447
chr1	39752807	39752950	0.8724	-0.2709
chr1	39754592	39754963	0.8537	0.3986
chr1	39758405	39758569	0.8774	-0.1768
chr1	39759235	39760229	0.9044	-0.2282
chr1	39761157	39762383	0.862	0.0617
chr1	39765933	39766473	0.8335	0.2892
chr1	39768118	39768271	0.8953	-0.0966
chr1	39772172	39773012	0.8641	0.5037
chr1	39773134	39773503	0.871	-0.2397
chr1	39777797	39778039	0.8862	0.1851
chr1	39805288	39805899	0.8713	0.1463
chr1	39819641	39819897	0.8515	0.174
chr1	39831037	39831926	0.9321	0.6386
chr1	39835845	39836071	0.8889	-0.0816
chr1	39838794	39839626	0.8947	0.6222
chr1	39845929	39846513	0.8328	-0.2496
chr1	39847866	39848083	0.8573	0.1387
chr1	39851141	39851422	0.8961	0.124
chr1	39856908	39857303	0.8747	-0.1669
chr1	39859278	39859524	0.8768	0.0663
chr1	39867861	39869326	0.9436	-0.5687
chr1	39869457	39870322	0.8399	0.2398
chr1	39877732	39878466	0.8609	-0.1523
chr1	39882369	39882783	0.9034	-0.5649
chr1	39888625	39890234	0.8858	-0.6402
chr1	39895124	39895606	0.8738	-0.3821
chr1	39896650	39896823	0.8638	0.1501
chr1	39900077	39902401	0.9834	0.0603
chr1	39902655	39903217	0.844	-0.2131
chr1	39906957	39907468	0.8842	-0.1936
chr1	39910203	39910354	0.8578	-0.0709
chr1	39911467	39911763	0.8562	-0.0155
chr1	39913266	39913757	0.8979	-0.4942
chr1	39917685	39918370	0.8425	-0.1997
chr1	39918613	39918788	0.8514	0.0867
chr1	39921395	39921678	0.8693	0.3353
chr1	39923405	39924283	0.861	-0.0233
chr1	39925955	39926396	0.8691	-0.2164
chr1	39931264	39931397	0.8748	0.0648
chr1	39931994	39932651	0.8857	-0.2147
chr1	39934917	39935307	0.8658	-0.1336
chr1	39935603	39935883	0.8896	-0.1539
chr1	39936309	39936830	0.842	0.3483
chr1	39941013	39942100	0.9233	-0.1728
chr1	39942661	39943215	0.8645	-0.1226
chr1	39944199	39944689	0.8512	-0.4137
chr1	39947677	39948198	0.8672	0.3088
chr1	39948401	39948540	0.8794	0.0653
chr1	39949376	39949678	0.8747	-0.1662
chr1	39949839	39949986	0.8689	-0.056
chr1	39950022	39950334	0.8827	0.1112
chr1	39951206	39951359	0.8923	0.213
chr1	39956645	39956964	0.8951	-0.1742
chr1	39962178	39963389	0.874	-0.0669
chr1	39965449	39965873	0.8812	0.1859
chr1	39969048	39969371	0.9033	-0.3078
chr1	39969919	39970307	0.8948	0.2687
chr1	39971233	39971389	0.8572	-0.0609
chr1	39974000	39974190	0.8259	-0.0566
chr1	39974872	39975092	0.8906	-0.0608
chr1	39976846	39977510	0.9115	-0.0187
chr1	39982110	39982368	0.8611	0.0126
chr1	39982816	39983437	0.837	-0.0761
chr1	39993984	39994174	0.8548	-0.0808
chr1	39994845	39995438	0.8626	-0.2245
chr1	39999910	40000291	0.5718	0.1156
chr1	40000854	40001464	0.6292	-0.1009
chr1	40002187	40002551	0.542	0.113
chr1	40012585	40012966	0.5259	0.2188
chr1	40014795	40015493	0.5753	-0.3425
chr1	40017502	40017731	0.5441	-0.0672
chr1	40024078	40024200	0.7852	0.0853
chr1	40024666	40024854	0.5729	0.0787
chr1	40025894	40026036	0.5747	0.2255
chr1	40028352	40028598	0.5459	0.0022
chr1	40031130	40031359	0.5394	-0.0481
chr1	40031583	40032097	0.5236	-0.1142
chr1	40032261	40032507	0.5739	-0.0689
chr1	40033207	40034329	0.541	0.4063
chr1	40042051	40042475	0.5831	-0.0848
chr1	40052894	40053516	0.5779	-0.4076
chr1	40053953	40054290	0.5526	-0.222
chr1	40059200	40059677	0.5406	0.1164
chr1	40061486	40061597	0.6037	0.1064
chr1	40063071	40063256	0.6001	-0.1088
chr1	40065011	40065237	0.628	-0.1437
chr1	40085487	40086127	0.6442	0.1713
chr1	40088580	40089232	0.5859	-0.7042
chr1	40094258	40095192	0.6129	-0.3796
chr1	40106513	40107615	0.5844	-0.3846
chr1	40115398	40115733	0.5698	0.0531
chr1	40116338	40116714	0.599	-0.1557
chr1	40117609	40117976	0.6163	-0.3945
chr1	40128411	40128745	0.5196	-0.1447
chr1	40132979	40133496	0.6337	-0.5403
chr1	40139540	40140507	0.6063	-0.6392
chr1	40151979	40152594	0.5677	-0.2553
chr1	40155447	40155785	0.5872	-0.288
chr1	40171884	40172294	0.5864	0.1082
chr1	40174072	40174704	0.6134	-0.5396
chr1	40179185	40179728	0.63	-0.1237
chr1	40183272	40183887	0.6059	-0.4949
chr1	40187975	40188602	0.5539	-0.228
chr1	40190073	40190206	0.6282	-0.0932
chr1	40213494	40213629	0.5532	-0.1094
chr1	40217113	40217753	0.6071	-0.5922
chr1	40219304	40219433	0.6322	-0.0705
chr1	40220619	40220779	0.6169	0.2348
chr1	40224594	40225458	0.5521	-0.3971
chr1	40230391	40230628	0.5145	0.1132
chr1	40232946	40234102	0.5599	0.0226
chr1	40235433	40236173	0.6333	-0.457
chr1	40252071	40252789	0.5869	-0.2947
chr1	40253018	40253503	0.6428	-0.2676
chr1	40253790	40254405	0.5466	0.1371
chr1	40266100	40267354	0.5247	-0.0847
chr1	40270423	40270569	0.6448	0.0602
chr1	40272261	40272654	0.5507	-0.1665
chr1	40275034	40275899	0.6205	-0.4616
chr1	40281909	40282861	0.5135	0.545
chr1	40284111	40284282	0.5854	0.0841
chr1	40284444	40284960	0.5848	-0.2742
chr1	40288685	40288968	0.6076	-0.2146
chr1	40290526	40290800	0.6142	0.4465
chr1	40293993	40294153	0.5625	-0.0698
chr1	40294803	40295201	0.6093	-0.5106
chr1	40324411	40326366	0.6167	-0.5026
chr1	40339241	40339799	0.6441	-0.9162
chr1	40341353	40341680	0.6494	-0.1656
chr1	40343499	40343719	0.5517	0.1235
chr1	40345032	40345147	0.6213	0.0989
chr1	40352042	40352338	0.7314	-0.2917
chr1	40353004	40353212	0.6111	-0.1869
chr1	40358726	40359347	0.6009	-0.4636
chr1	40359741	40360102	0.6098	-0.3166
chr1	40362882	40363121	0.6447	0.1428
chr1	40372839	40373461	0.6983	-0.8307
chr1	40375402	40375784	0.5438	0.1176
chr1	40376678	40377101	0.6448	0.4811
chr1	40378811	40379208	0.5201	-0.2094
chr1	40380154	40380445	0.7326	-0.5457
chr1	40385055	40385738	0.6212	-0.7946
chr1	40393104	40393746	0.6091	-0.9182
chr1	40400675	40401456	0.6419	-0.7909
chr1	40413175	40413313	0.5828	-0.1422
chr1	40414368	40414971	0.5755	-0.2366
chr1	40415731	40415893	0.5729	-0.0871
chr1	40417137	40417390	0.7196	-0.2242
chr1	40419914	40420153	0.5979	-0.2044
chr1	40433652	40433804	0.6027	0.1071
chr1	40433980	40434254	0.546	-0.2269
chr1	40435880	40436610	0.5916	-0.6036
chr1	40439398	40440019	0.5708	-0.3339
chr1	40441738	40441944	0.623	-0.1039
chr1	40444598	40445228	0.6362	-0.6155
chr1	40449288	40449426	0.6278	-0.053
chr1	40466123	40466354	0.7172	0.105
chr1	40472478	40472711	0.5862	-0.281
chr1	40475833	40475972	0.7945	-0.1008
chr1	40488168	40488276	0.6146	0.0824
chr1	40514960	40515639	0.6422	-0.689
chr1	40516076	40516613	0.5863	-0.3864
chr1	40542348	40543137	0.5642	-0.5038
chr1	40544746	40544954	0.5852	-0.2731
chr1	40547796	40548113	0.549	-0.2028
chr1	40550306	40550682	0.5551	-0.1985
chr1	40571254	40571378	0.5962	0.0804
chr1	40575040	40575172	0.5757	0.0906
chr1	40579915	40580041	0.5628	-0.1288
chr1	40586596	40587297	0.5184	0.1178
chr1	40592318	40592671	0.6611	-0.4476
chr1	40601031	40601250	0.584	0.1411
chr1	40614326	40614940	0.6925	-0.696
chr1	40619800	40620196	0.7769	-0.5735
chr1	40621693	40621994	0.7031	-0.099
chr1	40657926	40658472	0.5909	-0.5056
chr1	40659504	40659753	0.6887	0.1019
chr1	40667455	40667699	0.553	0.355
chr1	40674660	40674821	0.5724	-0.1937
chr1	40680283	40682007	0.644	0.024
chr1	40691660	40691973	0.5384	-0.2996
chr1	40694385	40694624	0.6825	0.1813
chr1	40715055	40715436	0.5099	0.2447
chr1	40750927	40751054	0.6015	-0.0805
chr1	40765581	40765831	0.5769	0.3999
chr1	40773119	40773684	0.613	-0.6331
chr1	40773951	40774131	0.5841	0.1015
chr1	40775580	40775894	0.5829	-0.2715
chr1	40789536	40791156	0.5323	0.058
chr1	40797281	40797777	0.5927	-0.3704
chr1	40802693	40803042	0.6144	-0.3055
chr1	40804216	40804352	0.6261	0.106
chr1	40805356	40805717	0.5775	0.7352
chr1	40808618	40809166	0.7126	-0.7017
chr1	40824876	40826028	0.5989	-0.5984
chr1	40829389	40829801	0.5103	0.2944
chr1	40835499	40835906	0.6759	-0.6268
chr1	40840222	40841095	0.5798	0.2868
chr1	40842300	40842771	0.5343	0.1027
chr1	40844424	40844896	0.5678	-0.1879
chr1	40847313	40848131	0.4754	-0.1671
chr1	40851340	40851592	0.5908	-0.1957
chr1	40854881	40855690	0.5665	0.0882
chr1	40857294	40857605	0.6035	-0.2945
chr1	40865119	40865494	0.542	-0.1728
chr1	40866216	40866728	0.6009	-0.4513
chr1	40874390	40874978	0.5008	0.4678
chr1	40875142	40875394	0.6103	-0.1948
chr1	40876133	40876336	0.5673	0.1887
chr1	40878091	40878283	0.5988	-0.0672
chr1	40878784	40879692	0.5161	-0.2566
chr1	40885775	40885914	0.5636	0.1415
chr1	40887567	40888138	0.5945	-0.4083
chr1	40890281	40890875	0.5199	0.3894
chr1	40893222	40893446	0.5805	0.1993
chr1	40903840	40904182	0.5978	-0.4253
chr1	40904806	40905067	0.5705	-0.096
chr1	40925025	40925222	0.534	0.0951
chr1	40930704	40931072	0.6445	0.3145
chr1	40931242	40931691	0.641	0.8363
chr1	40942843	40943067	0.5336	0.0988
chr1	40951965	40952164	0.6015	0.1297
chr1	40967959	40968600	0.6628	-0.2735
chr1	40986597	40986922	0.548	-0.2869
chr1	40993114	40993919	0.6772	-0.5645
chr1	40995456	40995876	0.6195	-0.501
chr1	41001663	41001863	0.591	-0.2505
chr1	41006896	41007245	0.5274	-0.0774
chr1	41008616	41008829	0.6131	-0.244
chr1	41034938	41035873	0.6088	-0.4484
chr1	41063176	41063612	0.6231	0.2941
chr1	41074888	41075600	0.6031	0.4783
chr1	41110693	41110879	0.651	-0.1288
chr1	41133810	41134425	0.7127	-0.4707
chr1	41141814	41142438	0.6318	-0.4763
chr1	41144765	41145394	0.5856	-0.5484
chr1	41152646	41152829	0.5861	-0.1728
chr1	41157686	41158032	0.6077	0.7585
chr1	41164665	41164887	0.5967	-0.2798
chr1	41168146	41168430	0.5425	-0.3191
chr1	41187232	41187580	0.5942	0.3129
chr1	41187954	41188108	0.6128	0.2059
chr1	41212933	41213126	0.5475	-0.096
chr1	41254476	41254616	0.5534	-0.0864
chr1	41357397	41357642	0.5533	-0.3372
chr1	41361678	41361813	0.6257	0.0824
